2026-01-15T19:46:54.788 INFO [Connected]
2026-01-15T19:46:55.197 INFO Device Reached.
2026-01-15T19:46:55.202 INFO Server Started
2026-01-15T19:46:55.202 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': False, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:46:55.202', 'version': '1.0.0'}
2026-01-15T19:46:55.855 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:46:55.855', 'version': '1.0.0'}
2026-01-15T19:46:56.253 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:46:56.252', 'version': '1.0.0'}
2026-01-15T19:46:57.204 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:46:57.203', 'version': '1.0.0'}
2026-01-15T19:46:58.226 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:46:58.226', 'version': '1.0.0'}
2026-01-15T19:46:59.243 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:46:59.243', 'version': '1.0.0'}
2026-01-15T19:47:00.258 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:00.258', 'version': '1.0.0'}
2026-01-15T19:47:01.218 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:01.218', 'version': '1.0.0'}
2026-01-15T19:47:02.233 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:02.233', 'version': '1.0.0'}
2026-01-15T19:47:03.228 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:03.228', 'version': '1.0.0'}
2026-01-15T19:47:04.241 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:04.241', 'version': '1.0.0'}
2026-01-15T19:47:05.257 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:05.257', 'version': '1.0.0'}
2026-01-15T19:47:06.213 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:06.213', 'version': '1.0.0'}
2026-01-15T19:47:07.246 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:07.246', 'version': '1.0.0'}
2026-01-15T19:47:08.210 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:08.210', 'version': '1.0.0'}
2026-01-15T19:47:09.225 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:09.224', 'version': '1.0.0'}
2026-01-15T19:47:10.235 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:10.235', 'version': '1.0.0'}
2026-01-15T19:47:11.248 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:11.248', 'version': '1.0.0'}
2026-01-15T19:47:12.228 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:12.228', 'version': '1.0.0'}
2026-01-15T19:47:13.241 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:13.241', 'version': '1.0.0'}
2026-01-15T19:47:14.256 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:14.256', 'version': '1.0.0'}
2026-01-15T19:47:15.204 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:15.204', 'version': '1.0.0'}
2026-01-15T19:47:16.229 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:16.228', 'version': '1.0.0'}
